student_uid,Cantidad_Envios_error_AssertionError,Cantidad_Envios_error_AttributeError,Cantidad_Envios_error_EOFError,Cantidad_Envios_error_IndentationError,Cantidad_Envios_error_NameError,Cantidad_Envios_error_SyntaxError,Cantidad_Envios_error_TypeError,Ejercicios_unicos_error_AssertionError,Ejercicios_unicos_error_AttributeError,Ejercicios_unicos_error_EOFError,Ejercicios_unicos_error_IndentationError,Ejercicios_unicos_error_NameError,Ejercicios_unicos_error_SyntaxError,Ejercicios_unicos_error_TypeError,Cantidad_Envios,Ejercicios_unicos_caller,Cant_envios_paso,Cant_envios_no_paso,Cant_ejerc_pasoTotal_envios,Cant_ejerc_no_pasoTotal_envios,dif_ejerciciosUnicos_Paso,cant_envios,cant_ejercicios_unicos,tiempo_invertido_horas,tiempo_invertido_dias,Avance_caller,avg_tiempo,Ejercicios_unicos_other,Avance_original
88,0,0,0,0,0,6,0,0,0,0,0,0,2,0,13,2,1,12,1,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
89,0,0,0,19,0,12,0,0,0,0,4,0,5,0,79,14,27,52,14,9,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
90,0,0,0,8,1,16,0,0,0,0,3,1,8,0,61,18,27,34,15,11,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
91,0,0,0,2,1,27,0,0,0,0,1,1,4,0,87,9,39,48,8,6,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
92,0,0,0,3,0,17,0,0,0,0,1,0,4,0,60,9,20,40,7,6,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
93,0,0,0,2,0,30,0,0,0,0,1,0,11,0,93,31,43,50,30,17,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
94,0,0,0,0,0,14,0,0,0,0,0,0,10,0,127,40,52,75,37,24,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
95,0,0,0,0,0,6,0,0,0,0,0,0,2,0,26,6,17,9,5,3,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
96,0,0,0,4,0,8,0,0,0,0,1,0,2,0,36,8,21,15,7,4,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
98,0,0,0,16,4,10,0,0,0,0,4,2,3,0,65,10,24,41,6,7,4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
99,0,0,0,3,1,44,0,0,0,0,2,1,13,0,176,40,59,117,40,23,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
100,0,0,0,0,0,11,0,0,0,0,0,0,7,0,53,17,29,24,17,9,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
101,0,0,0,16,0,79,0,0,0,0,7,0,18,0,220,37,63,157,36,24,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
102,0,0,0,17,0,94,0,0,0,0,7,0,22,0,258,37,50,208,37,28,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
103,0,0,0,11,0,31,0,0,0,0,5,0,11,0,160,39,57,103,36,27,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
104,0,0,0,6,0,27,0,0,0,0,3,0,7,0,93,13,27,66,13,9,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
105,0,0,0,8,3,18,0,0,0,0,3,1,6,0,83,15,14,69,14,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
106,0,0,0,2,0,10,0,0,0,0,2,0,2,0,51,7,22,29,6,4,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
107,0,0,0,6,0,40,0,0,0,0,2,0,16,0,156,39,54,102,39,22,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
108,0,0,0,6,0,103,0,0,0,0,6,0,22,0,242,40,64,178,40,28,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
109,0,0,0,15,0,26,0,0,0,0,7,0,8,0,80,16,26,54,10,10,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
110,0,0,0,4,0,51,0,0,0,0,3,0,10,0,126,23,38,88,23,16,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
111,0,0,0,1,2,41,0,0,0,0,1,2,12,0,145,38,49,96,38,23,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
112,0,0,0,23,0,78,0,0,0,0,6,0,22,0,240,40,53,187,40,29,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
113,0,0,0,20,3,86,0,0,0,0,5,2,22,0,227,40,55,172,40,29,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
114,0,0,0,10,0,21,0,0,0,0,5,0,9,0,123,40,51,72,39,18,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
115,0,0,0,3,1,38,0,0,0,0,2,1,18,0,147,40,61,86,40,25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
116,0,0,0,10,0,40,0,0,0,0,1,0,11,0,190,40,60,130,40,22,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
117,0,0,0,18,0,27,0,0,0,0,6,0,11,0,144,40,75,69,40,19,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
118,0,0,0,15,0,59,0,0,0,0,3,0,15,0,191,38,53,138,37,27,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
119,0,0,0,3,0,51,0,0,0,0,1,0,11,0,120,28,46,74,27,15,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
120,0,0,0,35,5,50,0,0,0,0,6,1,15,0,193,36,53,140,31,21,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
121,0,0,0,9,0,24,0,0,0,0,2,0,8,0,120,27,41,79,27,11,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
122,0,0,0,0,0,4,0,0,0,0,0,0,2,0,7,2,1,6,1,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
123,0,0,0,14,7,58,0,0,0,0,6,2,19,0,219,40,56,163,40,27,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
124,0,0,0,7,0,24,0,0,0,0,5,0,12,0,77,21,40,37,21,13,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
125,1,0,0,6,0,18,0,1,0,0,2,0,4,0,84,27,40,44,27,11,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
126,0,0,0,5,1,7,0,0,0,0,2,1,3,0,73,40,50,23,40,11,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
127,0,0,0,0,0,4,0,0,0,0,0,0,1,0,35,15,25,10,13,4,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
128,0,0,0,5,0,5,0,0,0,0,1,0,2,0,26,4,3,23,3,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
129,0,0,0,0,0,19,0,0,0,0,0,0,8,0,102,40,53,49,40,15,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
130,0,0,0,4,1,18,0,0,0,0,2,1,8,0,67,20,35,32,20,10,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
131,0,0,0,0,0,3,0,0,0,0,0,0,1,0,6,1,0,6,0,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
132,0,0,0,4,1,12,0,0,0,0,1,1,3,0,42,4,10,32,4,3,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
133,0,0,0,6,0,40,0,0,0,0,3,0,13,0,191,40,68,123,40,23,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
134,0,0,0,19,1,52,0,0,0,0,5,1,7,0,157,19,30,127,17,12,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
135,0,0,0,5,0,16,0,0,0,0,1,0,5,0,41,11,13,28,10,6,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
136,0,0,0,29,3,89,0,0,0,0,9,2,22,0,278,40,56,222,38,30,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
137,0,0,0,1,0,9,0,0,0,0,1,0,2,0,30,12,19,11,11,3,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
138,0,0,0,1,3,8,0,0,0,0,1,2,1,0,42,7,18,24,6,4,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
139,0,0,0,1,0,3,0,0,0,0,1,0,3,0,22,10,16,6,10,5,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
140,0,0,0,12,0,18,0,0,0,0,3,0,5,0,45,9,10,35,6,5,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
141,0,0,0,1,1,1,0,0,0,0,1,1,1,0,51,15,27,24,14,11,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
143,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,1,0,3,0,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
144,0,0,0,1,2,43,0,0,0,0,1,2,12,0,164,40,65,99,39,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
145,0,0,0,7,2,40,0,0,0,0,2,2,13,0,142,36,45,97,33,24,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
146,0,0,0,0,0,8,0,0,0,0,0,0,3,0,23,7,15,8,5,3,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
149,1,0,0,4,0,37,0,1,0,0,3,0,10,0,217,40,74,143,40,21,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
150,0,0,0,10,0,25,0,0,0,0,3,0,10,0,154,40,60,94,40,22,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
151,0,0,0,0,0,99,0,0,0,0,0,0,17,0,320,37,50,270,32,24,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
152,0,0,0,1,1,43,0,0,0,0,1,1,15,0,301,40,53,248,40,26,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
153,0,0,0,10,0,55,0,0,0,0,3,0,14,0,169,40,60,109,40,25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
154,0,0,0,0,0,21,0,0,0,0,0,0,5,0,101,40,62,39,39,11,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
155,0,0,0,9,0,51,0,0,0,0,4,0,14,0,240,40,71,169,40,25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
156,0,0,0,0,0,15,0,0,0,0,0,0,9,0,110,40,63,47,40,18,0,89.0,36.0,1137.88,47.4117,0,12.785168539325843,36.0,1.0
158,1,0,0,21,2,65,0,1,0,0,6,1,13,0,274,40,59,215,40,27,0,186.0,40.0,467.96,19.4983,0,2.5159139784946234,40.0,0.0
160,0,0,0,9,0,36,0,0,0,0,3,0,13,0,169,40,57,112,38,27,2,84.0,9.0,593.53,24.7304,0,7.065833333333333,9.0,1.0
161,0,0,0,3,2,135,0,0,0,0,3,2,15,0,315,26,37,278,23,22,3,95.0,22.0,1150.94,47.9558,0,12.115157894736843,22.0,1.0
162,0,0,0,21,1,41,0,0,0,0,10,1,13,0,232,38,56,176,37,28,1,125.0,19.0,2.61,0.1088,0,0.02088,19.0,1.0
163,0,0,0,9,0,47,0,0,0,0,2,0,13,0,200,38,50,150,35,22,3,56.0,9.0,1.18,0.0492,0,0.02107142857142857,9.0,1.0
