Cantidad_Envios,Ejercicios_unicos_caller,Cant_envios_paso,Cant_envios_no_paso,Cant_ejerc_pasoTotal_envios,Cant_ejerc_no_pasoTotal_envios,dif_ejerciciosUnicos_Paso,cant_envios,cant_ejercicios_unicos,f_primer_envio,f_ultimo_envio,tiempo_invertido,tiempo_invertido_horas,tiempo_invertido_dias,Avance_caller,avg_tiempo,ID_ultimo_ejercicio_enviado,Ejercicios_unicos_other,Avance_other,Avance_original
49,10,18,31,9,5,1,49,10,2020-09-08 14:24:49.304,2020-09-15 12:24:40.936,6 days 21:59:51.632000,166.0,6.9167,0,3.3877551020408165,9,28,Deserto,1
31,10,22,9,10,5,0,31,10,2020-09-08 14:25:21.690,2020-09-08 14:57:13.554,0 days 00:31:51.864000,0.53,0.0221,0,0.017096774193548388,10,40,Completo,0
94,10,18,76,10,7,0,94,10,2020-09-08 14:25:40.870,2020-09-14 00:25:48.424,5 days 10:00:07.554000,130.0,5.4167,0,1.3829787234042554,10,40,Completo,0
19,10,13,6,10,4,0,19,10,2020-09-08 14:25:34.886,2020-09-08 18:28:10.117,0 days 04:02:35.231000,4.04,0.1683,0,0.21263157894736842,10,40,Completo,0
48,10,25,23,10,5,0,48,10,2020-09-08 14:25:59.550,2020-09-08 19:03:54.322,0 days 04:37:54.772000,4.63,0.1929,0,0.09645833333333333,10,40,Completo,0
80,10,19,61,10,5,0,80,10,2020-09-08 14:27:12.964,2020-09-08 19:05:27.482,0 days 04:38:14.518000,4.64,0.1933,0,0.057999999999999996,10,40,Completo,0
42,10,21,21,10,5,0,42,10,2020-09-08 14:28:01.089,2020-09-14 18:04:54.314,6 days 03:36:53.225000,147.61,6.1504,0,3.51452380952381,9,40,Completo,0
58,10,25,33,10,8,0,58,10,2020-09-01 17:28:31.949,2020-09-21 21:43:42.161,20 days 04:15:10.212000,484.25,20.1771,0,8.349137931034482,10,40,Completo,0
23,7,14,9,5,2,2,23,7,2020-09-08 14:36:57.873,2020-09-21 21:20:02.120,13 days 06:43:04.247000,318.72,13.28,0,13.857391304347827,7,7,Deserto,1
26,10,20,6,10,3,0,26,10,2020-09-08 14:40:00.783,2020-09-14 17:35:25.801,6 days 02:55:25.018000,146.92,6.1217,0,5.65076923076923,10,40,Completo,0
65,10,20,45,10,3,0,65,10,2020-09-08 14:43:35.899,2020-09-14 17:24:18.989,6 days 02:40:43.090000,146.68,6.1117,0,2.256615384615385,8,40,Completo,0
52,10,19,33,10,4,0,52,10,2020-09-09 21:22:36.588,2020-09-14 23:35:41.747,5 days 02:13:05.159000,122.22,5.0925,0,2.3503846153846153,10,40,Completo,0
19,10,17,2,10,1,0,19,10,2020-09-10 18:14:59.788,2020-09-10 18:41:33.527,0 days 00:26:33.739000,0.44,0.0183,0,0.023157894736842106,10,40,Completo,0
91,10,19,72,10,7,0,91,10,2020-09-10 22:12:45.167,2020-09-11 00:42:17.609,0 days 02:29:32.442000,2.49,0.1038,0,0.027362637362637363,10,40,Completo,0
77,10,17,60,8,5,2,77,10,2020-09-11 15:03:01.632,2020-10-07 15:48:06.670,26 days 00:45:05.038000,624.75,26.0312,0,8.113636363636363,6,40,Completo,0
32,10,20,12,10,5,0,32,10,2020-09-11 18:44:03.563,2020-09-11 20:15:48.364,0 days 01:31:44.801000,1.53,0.0638,0,0.0478125,10,40,Completo,0
154,10,20,134,10,8,0,154,10,2020-09-11 20:16:53.613,2020-09-14 00:25:17.920,2 days 04:08:24.307000,52.14,2.1725,0,0.3385714285714286,10,40,Completo,0
36,10,19,17,10,5,0,36,10,2020-09-11 20:39:06.681,2020-09-11 22:38:03.866,0 days 01:58:57.185000,1.98,0.0825,0,0.055,10,40,Completo,0
20,10,19,1,10,1,0,20,10,2020-09-12 19:12:40.608,2020-09-13 04:26:20.220,0 days 09:13:39.612000,9.23,0.3846,0,0.4615,10,40,Completo,0
32,10,21,11,10,5,0,32,10,2020-09-12 21:19:15.180,2020-09-21 13:16:08.824,8 days 15:56:53.644000,207.95,8.6646,0,6.4984375,10,40,Completo,0
52,8,17,35,7,6,1,52,8,2020-09-13 16:17:24.164,2020-10-10 16:57:34.518,27 days 00:40:10.354000,648.67,27.0279,0,12.474423076923076,8,8,Deserto,1
22,10,21,1,10,1,0,22,10,2020-09-14 05:09:30.065,2020-11-08 23:50:40.469,55 days 18:41:10.404000,1338.69,55.7788,0,60.849545454545456,5,40,Completo,0
32,10,18,14,10,5,0,32,10,2020-09-14 11:44:31.487,2020-09-14 22:42:04.109,0 days 10:57:32.622000,10.96,0.4567,0,0.3425,10,40,Completo,0
38,10,19,19,10,8,0,38,10,2020-09-14 12:54:43.590,2020-09-14 13:42:40.213,0 days 00:47:56.623000,0.8,0.0333,0,0.021052631578947368,10,31,Deserto,1
83,10,20,63,10,7,0,83,10,2020-09-14 13:18:49.891,2020-10-23 17:18:31.923,39 days 03:59:42.032000,940.0,39.1667,0,11.325301204819278,10,40,Completo,0
91,10,20,71,10,8,0,91,10,2020-09-14 13:27:42.530,2020-10-05 13:44:54.240,21 days 00:17:11.710000,504.29,21.0121,0,5.541648351648352,10,40,Completo,0
47,10,20,27,10,7,0,47,10,2020-09-14 13:22:41.785,2020-09-14 14:42:24.400,0 days 01:19:42.615000,1.33,0.0554,0,0.028297872340425533,9,40,Completo,0
41,10,20,21,10,6,0,41,10,2020-09-14 15:03:02.146,2020-09-14 19:08:40.607,0 days 04:05:38.461000,4.09,0.1704,0,0.0997560975609756,10,40,Completo,0
114,10,26,88,10,7,0,114,10,2020-09-14 15:54:40.289,2020-09-28 15:50:19.460,13 days 23:55:39.171000,335.93,13.9971,0,2.9467543859649123,10,40,Completo,0
90,10,18,72,9,7,1,90,10,2020-09-14 20:02:24.818,2020-11-21 15:17:26.661,67 days 19:15:01.843000,1627.25,67.8021,0,18.080555555555556,2,40,Completo,0
43,10,24,19,10,6,0,43,10,2020-09-14 20:53:34.683,2020-09-14 21:43:00.766,0 days 00:49:26.083000,0.82,0.0342,0,0.019069767441860463,10,40,Completo,0
40,10,22,18,10,5,0,40,10,2020-09-14 21:54:16.935,2020-09-14 22:51:06.635,0 days 00:56:49.700000,0.95,0.0396,0,0.02375,10,40,Completo,0
24,7,17,7,6,4,1,24,7,2020-09-15 00:22:56.252,2020-09-15 14:37:47.687,0 days 14:14:51.435000,14.25,0.5938,0,0.59375,7,7,Deserto,1
72,10,20,52,9,6,1,72,10,2020-09-15 00:41:55.438,2020-10-11 16:28:47.083,26 days 15:46:51.645000,639.78,26.6575,0,8.885833333333332,10,15,Deserto,1
30,7,15,15,6,5,1,30,7,2020-09-15 12:15:16.081,2020-10-02 20:39:43.730,17 days 08:24:27.649000,416.41,17.3504,0,13.880333333333335,7,7,Deserto,1
88,10,20,68,10,6,0,88,10,2020-09-15 13:53:22.284,2020-09-27 20:55:58.918,12 days 07:02:36.634000,295.04,12.2933,0,3.352727272727273,10,12,Deserto,1
55,10,19,36,10,7,0,55,10,2020-09-15 23:19:57.630,2020-09-28 23:30:18.899,13 days 00:10:21.269000,312.17,13.0071,0,5.675818181818182,9,40,Completo,0
65,10,23,42,10,5,0,65,10,2020-09-16 11:36:50.752,2020-09-22 12:10:00.993,6 days 00:33:10.241000,144.55,6.0229,0,2.223846153846154,8,40,Completo,0
55,10,22,33,10,7,0,55,10,2020-09-18 14:57:41.357,2020-09-19 00:24:49.830,0 days 09:27:08.473000,9.45,0.3938,0,0.17181818181818181,9,40,Completo,0
44,10,20,24,10,5,0,44,10,2020-09-17 22:24:52.994,2020-09-18 19:51:33.361,0 days 21:26:40.367000,21.44,0.8933,0,0.4872727272727273,10,40,Completo,0
61,10,17,44,10,6,0,61,10,2020-09-20 01:43:19.555,2020-09-20 20:43:55.210,0 days 19:00:35.655000,19.01,0.7921,0,0.3116393442622951,10,40,Completo,0
65,10,26,39,10,5,0,65,10,2020-09-20 20:46:53.763,2020-09-21 17:08:49.093,0 days 20:21:55.330000,20.37,0.8488,0,0.3133846153846154,10,40,Completo,0
46,10,26,20,10,7,0,46,10,2020-09-20 21:22:28.994,2020-10-04 02:57:57.544,13 days 05:35:28.550000,317.59,13.2329,0,6.9041304347826085,10,38,Deserto,1
118,10,21,97,10,5,0,118,10,2020-09-20 21:25:35.696,2020-10-12 19:09:55.437,21 days 21:44:19.741000,525.74,21.9058,0,4.455423728813559,10,40,Completo,0
29,10,19,10,10,4,0,29,10,2020-09-20 21:27:07.988,2020-09-20 22:04:31.543,0 days 00:37:23.555000,0.62,0.0258,0,0.021379310344827585,10,40,Completo,0
111,10,19,92,10,6,0,111,10,2020-09-20 21:40:40.318,2020-09-21 19:34:41.827,0 days 21:54:01.509000,21.9,0.9125,0,0.19729729729729728,10,40,Completo,0
136,10,23,113,10,8,0,136,10,2020-09-20 22:27:31.099,2020-09-22 13:04:49.719,1 days 14:37:18.620000,38.62,1.6092,0,0.2839705882352941,10,40,Completo,0
137,10,43,94,10,7,0,137,10,2020-09-20 22:38:45.589,2020-09-21 00:39:23.265,0 days 02:00:37.676000,2.01,0.0837,0,0.014671532846715327,10,40,Completo,0
45,10,20,25,10,6,0,45,10,2020-09-21 12:30:39.524,2020-09-21 13:07:56.943,0 days 00:37:17.419000,0.62,0.0258,0,0.013777777777777778,10,40,Completo,0
